model_name,split,sample_id,summarizer,f1_score,precision,recall,length_ratio,wer,medical_wer
whisper_base,train,527,mt5_small,0.0,0.0,0.0,0.19047619047619047,0.1785714285714285,0.0
whisper_base,train,527,bert_extractive,0.5789473684210527,0.6470588235294118,0.5238095238095238,0.8095238095238095,0.1785714285714285,0.0
whisper_base,train,812,mt5_small,0.0,0.0,0.0,0.20833333333333334,0.2222222222222222,0.0
whisper_base,train,812,bert_extractive,0.7346938775510204,0.72,0.75,1.0416666666666667,0.2222222222222222,0.0
whisper_base,eval,9,mt5_small,0.0,0.0,0.0,0.30434782608695654,0.2608695652173913,0.0
whisper_base,eval,9,bert_extractive,0.711111111111111,0.7272727272727273,0.6956521739130435,0.9565217391304348,0.2608695652173913,0.0
whisper_base,eval,255,mt5_small,0.1509433962264151,0.25,0.10810810810810811,0.43243243243243246,0.1052631578947368,0.0
whisper_base,eval,255,bert_extractive,0.8918918918918919,0.8918918918918919,0.8918918918918919,1.0,0.1052631578947368,0.0
whisper_base,eval,144,mt5_small,0.18749999999999997,0.2727272727272727,0.14285714285714285,0.5238095238095238,0.2,0.0
whisper_base,eval,144,bert_extractive,0.717948717948718,0.7777777777777778,0.6666666666666666,0.8571428571428571,0.2,0.0
whisper_base,eval,213,mt5_small,0.08695652173913043,0.14285714285714285,0.0625,0.4375,0.4210526315789473,0.0
whisper_base,eval,213,bert_extractive,0.18181818181818182,0.3333333333333333,0.125,0.375,0.4210526315789473,0.0
whisper_base,eval,230,mt5_small,0.0,0.0,0.0,0.2631578947368421,0.1428571428571428,0.0
whisper_base,eval,230,bert_extractive,0.7894736842105263,0.7894736842105263,0.7894736842105263,1.0,0.1428571428571428,0.0
whisper_base,eval,197,mt5_small,0.0,0.0,0.0,0.1724137931034483,0.09375,0.0
whisper_base,eval,197,bert_extractive,0.8771929824561403,0.8928571428571429,0.8620689655172413,0.9655172413793104,0.09375,0.0
whisper_base,eval,97,mt5_small,0.05882352941176471,0.08333333333333333,0.045454545454545456,0.5454545454545454,0.1739130434782608,0.0
whisper_base,eval,97,bert_extractive,0.7142857142857143,0.75,0.6818181818181818,0.9090909090909091,0.1739130434782608,0.0
whisper_base,eval,73,mt5_small,0.04444444444444444,0.08333333333333333,0.030303030303030304,0.36363636363636365,0.0789473684210526,0.0
whisper_base,eval,73,bert_extractive,0.7647058823529412,0.7428571428571429,0.7878787878787878,1.0606060606060606,0.0789473684210526,0.0
whisper_base,eval,109,mt5_small,0.2222222222222222,0.4444444444444444,0.14814814814814814,0.3333333333333333,0.1428571428571428,0.0
whisper_base,eval,109,bert_extractive,0.7692307692307692,0.8,0.7407407407407407,0.9259259259259259,0.1428571428571428,0.0
whisper_base,eval,33,mt5_small,0.0,0.0,0.0,0.36363636363636365,0.4230769230769231,0.0
whisper_base,eval,33,bert_extractive,0.5652173913043478,0.5416666666666666,0.5909090909090909,1.0909090909090908,0.4230769230769231,0.0
whisper_base,eval,139,mt5_small,0.07692307692307691,0.3333333333333333,0.043478260869565216,0.13043478260869565,0.1666666666666666,0.0
whisper_base,eval,139,bert_extractive,0.7555555555555555,0.7727272727272727,0.7391304347826086,0.9565217391304348,0.1666666666666666,0.0
whisper_base,eval,208,mt5_small,0.08888888888888889,0.15384615384615385,0.0625,0.40625,0.1818181818181818,0.5
whisper_base,eval,208,bert_extractive,0.8181818181818182,0.7941176470588235,0.84375,1.0625,0.1818181818181818,0.5
whisper_base,eval,143,mt5_small,0.18518518518518517,0.3125,0.13157894736842105,0.42105263157894735,0.1,0.5
whisper_base,eval,143,bert_extractive,0.8918918918918918,0.9166666666666666,0.868421052631579,0.9473684210526315,0.1,0.5
whisper_base,eval,266,mt5_small,0.5128205128205129,0.5263157894736842,0.5,0.95,0.1904761904761904,0.0
whisper_base,eval,266,bert_extractive,0.75,0.75,0.75,1.0,0.1904761904761904,0.0
whisper_base,eval,5,mt5_small,0.12121212121212123,0.16666666666666666,0.09523809523809523,0.5714285714285714,0.0476190476190476,1.0
whisper_base,eval,5,bert_extractive,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,0.0476190476190476,1.0
whisper_base,eval,223,mt5_small,0.0,0.0,0.0,0.1935483870967742,0.0588235294117647,0.0
whisper_base,eval,223,bert_extractive,0.40816326530612246,0.5555555555555556,0.3225806451612903,0.5806451612903226,0.0588235294117647,0.0
whisper_base,eval,236,mt5_small,0.0,0.0,0.0,0.1111111111111111,0.15,0.0
whisper_base,eval,236,bert_extractive,0.8732394366197184,0.8857142857142857,0.8611111111111112,0.9722222222222222,0.15,0.0
whisper_base,eval,254,mt5_small,0.09302325581395349,0.15384615384615385,0.06666666666666667,0.43333333333333335,0.2580645161290322,0.0
whisper_base,eval,254,bert_extractive,0.711864406779661,0.7241379310344828,0.7,0.9666666666666667,0.2580645161290322,0.0
whisper_base,eval,45,mt5_small,0.0,0.0,0.0,0.5882352941176471,0.6111111111111112,0.0
whisper_base,eval,45,bert_extractive,0.5142857142857143,0.5,0.5294117647058824,1.0588235294117647,0.6111111111111112,0.0
whisper_base,eval,269,mt5_small,0.025,0.0625,0.015625,0.25,0.987012987012987,1.0
whisper_base,eval,269,bert_extractive,0.02631578947368421,0.08333333333333333,0.015625,0.1875,0.987012987012987,1.0
whisper_base,eval,237,mt5_small,0.0,0.0,0.0,0.19444444444444445,0.1578947368421052,0.0
whisper_base,eval,237,bert_extractive,0.7887323943661971,0.8,0.7777777777777778,0.9722222222222222,0.1578947368421052,0.0
whisper_base,eval,56,mt5_small,0.0,0.0,0.0,0.125,0.1111111111111111,0.0
whisper_base,eval,56,bert_extractive,0.6984126984126984,0.7096774193548387,0.6875,0.96875,0.1111111111111111,0.0
whisper_base,eval,154,mt5_small,0.0,0.0,0.0,0.11764705882352941,0.0285714285714285,0.0
whisper_base,eval,154,bert_extractive,0.8529411764705882,0.8529411764705882,0.8529411764705882,1.0,0.0285714285714285,0.0
whisper_base,eval,155,mt5_small,0.0,0.0,0.0,0.6666666666666666,0.75,0.0
whisper_base,eval,155,bert_extractive,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.75,0.0
whisper_base,eval,113,mt5_small,0.25,0.35294117647058826,0.1935483870967742,0.5483870967741935,0.1470588235294117,0.0
whisper_base,eval,113,bert_extractive,0.8888888888888888,0.875,0.9032258064516129,1.032258064516129,0.1470588235294117,0.0
whisper_base,eval,108,mt5_small,0.24242424242424246,0.36363636363636365,0.18181818181818182,0.5,0.1739130434782608,0.0
